"id","OVERALL_PICK","Duration","PlayingStatus","LABEL","WC","Analytic","Clout","Authentic","Tone","WPS","BigWords","Dic","Linguistic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","det","article","number","prep","auxverb","adverb","conj","negate","verb","adj","quantity","Drives","affiliation","achieve","power","Cognition","allnone","cogproc","insight","cause","discrep","tentat","certitude","differ","memory","Affect","tone_pos","tone_neg","emotion","emo_pos","emo_neg","emo_anx","emo_anger","emo_sad","swear","Social","socbehav","prosocial","polite","conflict","moral","comm","socrefs","family","friend","female","male","Culture","politic","ethnicity","tech","Lifestyle","leisure","home","work","money","relig","Physical","health","illness","wellness","mental","substances","sexual","food","death","need","want","acquire","lack","fulfill","fatigue","reward","risk","curiosity","allure","Perception","attention","motion","space","visual","auditory","feeling","time","focuspast","focuspresent","focusfuture","Conversation","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","QMark","Exclam","Apostro","OtherP","Emoji"
689,1000,NA,"","N",639,29.99,70.08,37.95,94.32,13.31,12.21,94.84,77.93,64.32,21.6,15.02,6.57,3.29,0,3.29,1.88,6.57,12.68,7.98,0.47,15.02,12.21,5.16,6.1,1.41,19.72,6.57,2.35,7.04,3.76,1.41,1.88,7.51,0.94,6.57,3.29,1.41,0,1.41,0,2.35,0,7.51,6.57,0.94,3.29,2.82,0.47,0,0,0.47,0,16.43,3.76,0.47,0,0,0,1.88,12.21,0,0,0,5.63,0.47,0,0,0.47,2.82,0.47,0,0.94,0.47,0.94,0.47,0,0,0,0,0,0,0.47,0,0.94,0,0,0,0,0,0.94,0,0,9.39,4.23,0,0.47,3.76,0.47,0,0,3.29,7.51,7.04,0,0,0,0,0,0,20.19,7.51,5.63,0,0,6.1,0.94,0
690,34,1,"STILL PLAYING","Y",12296,18.8,93.57,26.03,84.6,13.41,10.91,95.17,81.49,64.46,21.85,14.18,3.3,5.63,0.28,3.13,1.81,7.67,13.56,6.46,0.99,14.13,12.69,6.04,7.21,1.03,23.63,7.22,4.62,10.39,7.22,2.24,0.99,11.43,1.48,9.91,1.9,0.85,1.42,1.53,1.47,3.35,0.1,6.77,5.47,1.15,1.98,1.59,0.28,0,0.19,0,0.02,16.03,3.3,1.27,0,0.59,0.33,1.08,13.57,0.24,0,0.1,3.86,0,0,0,0,3.61,2.65,0.16,0.76,0,0.03,0.54,0.07,0,0,0,0,0,0.13,0,0.72,0.49,1.42,0.16,0,0.03,0.27,0.07,0.28,9.82,9.17,0.37,1.49,5.98,0.61,0.11,1.02,3.11,6.08,7.81,2.47,0.46,0,0.46,0,0,19.87,7.77,6.14,0.03,0,4.84,1.09,0
691,3,6,"STILL PLAYING","Y",1605,16.85,78.25,61.22,81.7,12.35,10.53,95.08,83.55,65.55,18.94,11.4,4.55,4.92,0.25,0.81,0.87,7.54,16.7,6.29,2.31,13.33,11.09,7.79,9.78,1.25,20.81,9.16,7.73,9.72,6.23,1.68,1.81,11.46,2.62,8.85,2.18,0.81,1.62,1,1.25,2.62,0.06,5.36,4.67,0.62,0.93,0.87,0,0,0,0,0,13.27,3.68,0.81,0,0.06,0,1.93,10.09,0.25,0,0.19,2.18,0,0,0,0,2.18,1.06,0.06,0.87,0.25,0,0.19,0.19,0,0,0,0,0,0,0,0.12,0.44,1.12,0,0.19,0,0.25,0,0,8.6,8.35,0.25,1.25,6.11,0.31,0.93,0.25,5.42,6.36,7.04,1.43,1.18,0.19,1,0.19,0,17.94,8.16,4.61,0,0,4.92,0.25,0
692,1000,NA,"","N",1071,20.45,6.3,96.47,80.19,9.56,9.8,96.73,81.05,66.01,24.84,18.3,13.07,1.31,1.31,0.65,1.96,6.54,13.07,5.23,0,15.03,9.8,7.19,3.92,1.96,19.61,5.88,7.19,6.54,2.61,2.61,1.31,13.07,0.65,12.42,5.23,1.96,1.96,2.61,0.65,1.96,0,6.54,5.23,1.31,3.92,3.27,0.65,0.65,0,0,0,10.46,5.23,2.61,0,0.65,0,1.31,5.88,0,0,0,0.65,0,0,0,0,1.96,0,0,1.31,0.65,0,0,0,0,0,0,0,0,0,0,0,0.65,1.31,0,0,0,0,0,0,15.03,9.8,0.65,1.31,7.19,0.65,0,0.65,1.96,6.54,3.92,0,0,0,0,0,0,18.95,10.46,3.92,0,0,4.58,0,0
693,5,15,"STILL PLAYING","Y",18278,35.03,92.05,59.85,69.55,13.45,9.69,93.69,80.96,62.63,22.05,14.7,3.89,3.76,2.96,1.49,2.25,7.36,15.3,6.87,1.38,14.59,10.29,4.92,4.16,1.66,23.79,6.02,5.24,8.64,5.42,1.92,1.48,12.37,0.69,11.49,3.12,1.87,1.95,1.74,0.25,3.1,0.02,5.27,4.19,1.05,1.15,0.67,0.45,0.07,0.28,0.02,0,15.28,3.45,1.61,0,0.26,0.4,0.82,12.95,0.05,0,0,2.11,0.05,0.02,0,0.03,2.91,2.26,0,0.58,0.1,0,0.5,0.11,0,0.02,0.02,0,0,0.04,0.03,1.56,0.43,2.11,0.04,0.03,0.03,0.38,0.16,0.25,10.57,11.17,0.59,2.59,7.3,0.91,0.14,0.6,2.93,6.98,4.29,1.83,0.71,0.36,0.31,0.04,0,18.51,7.41,7.06,0.02,0,3.44,0.58,0
694,1000,NA,"","N",612,26.52,6.3,96.47,71.51,13.91,11.11,98.04,83.66,61.44,18.3,10.46,7.19,2.61,0,0.65,0,7.84,16.34,6.54,3.27,15.03,9.8,4.58,12.42,1.31,22.22,9.8,7.84,6.54,3.27,3.27,0,17.65,4.58,13.73,0.65,1.31,1.96,1.96,1.31,6.54,0,4.58,3.92,0.65,0,0,0,0,0,0,0,5.23,1.31,0.65,0,0,0,0.65,3.92,0,0,0.65,0,0,0,0,0,1.96,1.31,0,0.65,0,0,1.31,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0.65,0,0,11.11,9.15,0,3.27,5.88,0.65,0,0,7.19,6.54,7.84,2.61,1.31,0,1.31,0,0,21.57,7.19,6.54,0,0,5.88,1.96,0
695,39,5,"","Y",10895,28.46,66.84,49.92,64.2,12.73,8.14,92.54,80.16,63.31,20.05,14.16,5.54,3.85,0.82,2.29,1.62,5.88,13.79,6.62,1.29,14.05,9.1,6.47,7.8,1.32,22.2,5.69,5.83,7.61,4.19,2.24,1.32,12.02,0.84,11.15,2.19,0.84,1.77,3.02,1.31,2.88,0.1,5.91,4.35,1.56,1.26,0.81,0.45,0.06,0.31,0,0,11.68,2.29,0.47,0.08,0.62,0.34,0.5,9.65,0,0,0,2.57,0,0,0,0,2.62,1.93,0.06,0.5,0.1,0.03,0.77,0,0,0,0,0,0,0.03,0.08,0.95,0.17,2.18,0.14,0.16,0.06,0.29,0.2,0,8.48,9.12,0.13,2.91,5.89,0.62,0.06,0.21,2.74,7.02,3.94,3.33,0.55,0.14,0.37,0.05,0,15.98,7.72,4.5,0.14,0,3.57,0.06,0
696,31,3,"","Y",8680,41.35,82.74,50.02,82.91,13.69,12.38,94.38,79.21,63.27,17.27,11.16,3.21,5.35,0.48,0.43,1.61,6.11,14.76,8.43,1.05,15.39,10.03,8.32,6.46,1.19,20.45,6.22,6.42,9.24,5.76,2.44,1.21,13.09,0.85,12.24,2.07,1.54,1.66,2.62,1.62,2.58,0.05,6.56,5.33,1.18,1.94,1.39,0.5,0.09,0.21,0.12,0,10.12,0.97,0.38,0,0.32,0.1,0.16,9.09,0.05,0.09,0,0.92,0,0,0,0,4.26,3.1,0,1.12,0,0.05,0.44,0.23,0,0,0,0,0,0.03,0,0.85,0.37,1.29,0,0.05,0.03,0.52,0.08,0.21,9.93,10.08,0.46,2.19,6.6,0.89,0.03,0.85,3.55,6.07,4.32,2.81,0.43,0.09,0.33,0,0,16.01,7.42,4.59,0.05,0,3.87,0.09,0
697,1000,NA,"","N",792,15.77,19.5,74.32,81.59,16.5,14.65,92.42,77.27,65.15,19.7,10.61,7.58,1.52,0,0,1.52,9.09,20.2,8.08,4.04,11.11,12.12,5.56,9.09,2.53,18.69,5.56,7.58,4.55,2.02,2.02,0.51,11.11,4.55,6.57,1.01,0,1.01,1.52,1.52,1.01,0.51,5.56,4.55,0.51,1.52,1.01,0,0,0,0,0,9.09,3.54,1.52,0.51,0,0.51,1.01,5.56,0,0,0,1.01,0.51,0.51,0,0,5.05,1.01,1.01,2.02,0.51,1.01,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0.51,8.08,10.1,0,1.52,7.58,0.51,0,0.51,4.04,8.59,6.06,0,0.51,0,0.51,0,0,19.7,6.06,8.59,0,0,5.05,0,0
698,32,2,"STILL PLAYING","Y",607,19.28,93.12,18.5,99,18.97,12.03,94.73,82.37,62.6,17.63,12.19,2.47,5.93,0.16,1.48,2.14,5.44,14.33,6.43,1.32,11.53,10.21,8.57,8.24,1.32,22.08,7.74,7.41,12.19,6.59,3.46,2.14,13.01,2.14,10.87,3.46,1.15,1.81,0.99,1.81,1.32,0,10.05,9.39,0.49,1.32,0.99,0.16,0,0.16,0,0,11.53,1.48,0.49,0,0.33,0.16,0.49,10.54,0,0,0,1.48,0.16,0.16,0,0,7.08,4.61,0,2.14,0.16,0.16,0.49,0.33,0.33,0,0,0,0,0,0,0.16,0.33,1.65,0,0.16,0,0.49,0,0.66,10.54,8.07,1.15,1.32,4.61,1.15,0.16,0.66,3.29,5.6,4.12,1.32,0.66,0,0.66,0,0,13.84,5.27,4.61,0,0,3.95,0,0
